order	source_mapping	simplified	traditional	pinyin	taiwan_pinyin	meaning	simplified_sentence	traditional_sentence	example_source	example_source_id	source_sentence	pinyin_source	taiwan_pinyin_source
692	4703_1	成立	成立	chéng lì		to establish	中华人民共和国成立后，姚喆任绥远军区副司令员。	中華人民共和國成立後，姚喆任綏遠軍區副司令員。	leipzig	zho_news_2020_300K:20409	中华人民共和国成立后，姚喆任绥远军区副司令员。	CC-CEDICT	
693	4703_1	军区	軍區	jūn qū		geographical area of command	中华人民共和国成立后，姚喆任绥远军区副司令员。	中華人民共和國成立後，姚喆任綏遠軍區副司令員。	leipzig	zho_news_2020_300K:20409	中华人民共和国成立后，姚喆任绥远军区副司令员。	CC-CEDICT	
694	4708_1	曲阜	曲阜	qū fù		Qufu	各种鸟类二十九种，其中鹭鸶为曲阜的“	各種鳥類二十九種，其中鷺鷥為曲阜的“	leipzig	zho_wikipedia_2018_1M:299964	各种鸟类二十九种，其中鹭鸶为曲阜的“	CC-CEDICT	
695	4711_1	第二	第二	dì èr		second	张国焘，中国共产党第二届中央委员会委员；	張國燾，中國共產黨第二屆中央委員會委員；	leipzig	zho_news_2020_300K:137900	张国焘，中国共产党第二届中央委员会委员；	CC-CEDICT	
696	4715_1	方形	方形	fāng xíng		square	方形截面，外观洁白，偶有麸皮夹入其中。	方形截面，外觀潔白，偶有麩皮夾入其中。	leipzig	zho_wikipedia_2018_1M:559902	方形截面，外观洁白，偶有麸皮夹入其中。	CC-CEDICT	
697	4715_1	截面	截面	jié miàn		section	方形截面，外观洁白，偶有麸皮夹入其中。	方形截面，外觀潔白，偶有麩皮夾入其中。	leipzig	zho_wikipedia_2018_1M:559902	方形截面，外观洁白，偶有麸皮夹入其中。	CC-CEDICT	
698	4715_1	外观	外觀	wài guān		outward appearance	方形截面，外观洁白，偶有麸皮夹入其中。	方形截面，外觀潔白，偶有麩皮夾入其中。	leipzig	zho_wikipedia_2018_1M:559902	方形截面，外观洁白，偶有麸皮夹入其中。	CC-CEDICT	
699	4715_1	洁白	潔白	jié bái		spotlessly white	方形截面，外观洁白，偶有麸皮夹入其中。	方形截面，外觀潔白，偶有麩皮夾入其中。	leipzig	zho_wikipedia_2018_1M:559902	方形截面，外观洁白，偶有麸皮夹入其中。	CC-CEDICT	
700	4720_1	沿海	沿海	yán hǎi		coastal	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	遠離東南沿海的中原人，只能透過諸侯的朝貢、征戰中的擄掠以及交易獲得。	leipzig	zho_news_2020_300K:278738	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	CC-CEDICT	
701	4720_1	中原	中原	zhōng yuán		Central Plain	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	遠離東南沿海的中原人，只能透過諸侯的朝貢、征戰中的擄掠以及交易獲得。	leipzig	zho_news_2020_300K:278738	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	CC-CEDICT	
702	4720_1	只能	只能	zhǐ néng		can only	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	遠離東南沿海的中原人，只能透過諸侯的朝貢、征戰中的擄掠以及交易獲得。	leipzig	zho_news_2020_300K:278738	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	CC-CEDICT	
703	4720_1	诸侯	諸侯	zhū hóu		local rulers	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	遠離東南沿海的中原人，只能透過諸侯的朝貢、征戰中的擄掠以及交易獲得。	leipzig	zho_news_2020_300K:278738	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	CC-CEDICT	
704	4720_1	征战	征戰	zhēng zhàn		campaign	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	遠離東南沿海的中原人，只能透過諸侯的朝貢、征戰中的擄掠以及交易獲得。	leipzig	zho_news_2020_300K:278738	远离东南沿海的中原人，只能通过诸侯的朝贡、征战中的掳掠以及交易获得。	CC-CEDICT	
705	4721_1	多大	多大	duō dà		how old?	袁某之前对缪可馨的掌掴，造成了多大心理阴影？	袁某之前對繆可馨的掌摑，造成了多大心理陰影？	leipzig	zho_news_2020_300K:252956	袁某之前对缪可馨的掌掴，造成了多大心理阴影？	CC-CEDICT	
706	4721_1	阴影	陰影	yīn yǐng		shadow	袁某之前对缪可馨的掌掴，造成了多大心理阴影？	袁某之前對繆可馨的掌摑，造成了多大心理陰影？	leipzig	zho_news_2020_300K:252956	袁某之前对缪可馨的掌掴，造成了多大心理阴影？	CC-CEDICT	
707	4740_1	提及	提及	tí jí		to mention	罗振玉在《海宁王忠悫公遗书序》提及王国维有预言“中国近状，恐以共和始，而以共产终。”	羅振玉在《海寧王忠慤公遺書序》提及王國維有預言“中國近狀，恐以共和始，而以共產終。”	leipzig	zho_wikipedia_2018_1M:791196	罗振玉在《海宁王忠悫公遗书序》提及王国维有预言“中国近状，恐以共和始，而以共产终。”	CC-CEDICT	
708	4740_1	王国	王國	wáng guó		kingdom	罗振玉在《海宁王忠悫公遗书序》提及王国维有预言“中国近状，恐以共和始，而以共产终。”	羅振玉在《海寧王忠慤公遺書序》提及王國維有預言“中國近狀，恐以共和始，而以共產終。”	leipzig	zho_wikipedia_2018_1M:791196	罗振玉在《海宁王忠悫公遗书序》提及王国维有预言“中国近状，恐以共和始，而以共产终。”	CC-CEDICT	
709	4740_1	共和	共和	gòng hé		republic	罗振玉在《海宁王忠悫公遗书序》提及王国维有预言“中国近状，恐以共和始，而以共产终。”	羅振玉在《海寧王忠慤公遺書序》提及王國維有預言“中國近狀，恐以共和始，而以共產終。”	leipzig	zho_wikipedia_2018_1M:791196	罗振玉在《海宁王忠悫公遗书序》提及王国维有预言“中国近状，恐以共和始，而以共产终。”	CC-CEDICT	
710	4767_1	整夜	整夜	zhěng yè		the whole night	我昨晚一整夜没睡好，因为有许多事情萦绕在我的心头。	我昨晚一整夜沒睡好，因為有許多事情縈繞在我的心頭。	tatoeba	532195	我昨晚一整夜沒睡好，因為有許多事情縈繞在我的心頭。	CC-CEDICT	
711	4767_1	萦绕	縈繞	yíng rào		to linger on	我昨晚一整夜没睡好，因为有许多事情萦绕在我的心头。	我昨晚一整夜沒睡好，因為有許多事情縈繞在我的心頭。	tatoeba	532195	我昨晚一整夜沒睡好，因為有許多事情縈繞在我的心頭。	CC-CEDICT	
712	4771_1	另外	另外	lìng wài		additional	除了本种，还有另外9种可食用的榴梿属物种，多只在原生地的市场上出现。	除了本種，還有另外9種可食用的榴槤屬物種，多隻在原生地的市場上出現。	leipzig	zho_wikipedia_2018_1M:959944	除了本种，还有另外9种可食用的榴梿属物种，多只在原生地的市场上出现。	CC-CEDICT	
713	4771_1	榴梿	榴槤	liú lián		durian	除了本种，还有另外9种可食用的榴梿属物种，多只在原生地的市场上出现。	除了本種，還有另外9種可食用的榴槤屬物種，多隻在原生地的市場上出現。	leipzig	zho_wikipedia_2018_1M:959944	除了本种，还有另外9种可食用的榴梿属物种，多只在原生地的市场上出现。	CC-CEDICT	
714	4773_1	田猎	田獵	tián liè		to hunt	惟遵其国俗，喜田猎，信巫觋卜筮，是其小蔽。	惟遵其國俗，喜田獵，信巫覡卜筮，是其小蔽。	leipzig	zho_wikipedia_2018_1M:511869	惟遵其国俗，喜田猎，信巫觋卜筮，是其小蔽。	CC-CEDICT	
715	4773_1	卜筮	卜筮	bǔ shì		divination	惟遵其国俗，喜田猎，信巫觋卜筮，是其小蔽。	惟遵其國俗，喜田獵，信巫覡卜筮，是其小蔽。	leipzig	zho_wikipedia_2018_1M:511869	惟遵其国俗，喜田猎，信巫觋卜筮，是其小蔽。	CC-CEDICT	
716	4779_1	图形	圖形	tú xíng		picture	庙门两侧是漏明窗，窗棂以木条构成几何图形。	廟門兩側是漏明窗，窗欞以木條構成幾何圖形。	leipzig	zho_news_2020_300K:136636	庙门两侧是漏明窗，窗棂以木条构成几何图形。	CC-CEDICT	
717	4780_1	吝啬	吝嗇	lìn sè		stingy	玛莉不喜欢跟汤姆一样吝啬的男人。	瑪莉不喜歡跟湯姆一樣吝嗇的男人。	tatoeba	4805724	瑪莉不喜歡跟湯姆一樣吝嗇的男人。	CC-CEDICT	
718	4782_1	乐观	樂觀	lè guān		optimistic	乐观主义仅仅是一种信息的匮乏的产物。	樂觀主義僅僅是一種資訊的匱乏的產物。	tatoeba	2065020	乐观主义仅仅是一种信息的匮乏的产物。	CC-CEDICT	
719	4782_1	信息	資訊	xìn xī	zī xùn	information	乐观主义仅仅是一种信息的匮乏的产物。	樂觀主義僅僅是一種資訊的匱乏的產物。	tatoeba	2065020	乐观主义仅仅是一种信息的匮乏的产物。	CC-CEDICT	Taiwan MOE Concise Dictionary
720	4782_1	产物	產物	chǎn wù		product	乐观主义仅仅是一种信息的匮乏的产物。	樂觀主義僅僅是一種資訊的匱乏的產物。	tatoeba	2065020	乐观主义仅仅是一种信息的匮乏的产物。	CC-CEDICT	
721	4801_1	化作	化作	huà zuò		to change into	这与龚自珍“落红不是无情物，化作春泥更护花”佳句之意，已然相通。	這與龔自珍“落紅不是無情物，化作春泥更護花”佳句之意，已然相通。	leipzig	zho_news_2020_300K:271858	这与龚自珍“落红不是无情物，化作春泥更护花”佳句之意，已然相通。	CC-CEDICT	
722	4801_1	已然	已然	yǐ rán		already	这与龚自珍“落红不是无情物，化作春泥更护花”佳句之意，已然相通。	這與龔自珍“落紅不是無情物，化作春泥更護花”佳句之意，已然相通。	leipzig	zho_news_2020_300K:271858	这与龚自珍“落红不是无情物，化作春泥更护花”佳句之意，已然相通。	CC-CEDICT	
723	4801_1	相通	相通	xiāng tōng		interlinked	这与龚自珍“落红不是无情物，化作春泥更护花”佳句之意，已然相通。	這與龔自珍“落紅不是無情物，化作春泥更護花”佳句之意，已然相通。	leipzig	zho_news_2020_300K:271858	这与龚自珍“落红不是无情物，化作春泥更护花”佳句之意，已然相通。	CC-CEDICT	
724	4802_1	殒命	殞命	yǔn mìng		to die	及以忧殒命，则操之猜忍实甚，非所及料也。	及以憂殞命，則操之猜忍實甚，非所及料也。	leipzig	zho_wikipedia_2018_1M:277870	及以忧殒命，则操之猜忍实甚，非所及料也。	CC-CEDICT	
725	4803_1	水族	水族	shuǐ zú		collective term for aquatic animals	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	水族實行土葬，若死者是婦女要等孃家人驗看後才能入殮。	leipzig	zho_wikipedia_2018_1M:655961	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	CC-CEDICT	
726	4803_1	土葬	土葬	tǔ zàng		burial	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	水族實行土葬，若死者是婦女要等孃家人驗看後才能入殮。	leipzig	zho_wikipedia_2018_1M:655961	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	CC-CEDICT	
727	4803_1	死者	死者	sǐ zhě		the dead	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	水族實行土葬，若死者是婦女要等孃家人驗看後才能入殮。	leipzig	zho_wikipedia_2018_1M:655961	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	CC-CEDICT	
728	4803_1	娘家	孃家	niáng jiā		wife's family	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	水族實行土葬，若死者是婦女要等孃家人驗看後才能入殮。	leipzig	zho_wikipedia_2018_1M:655961	水族实行土葬，若死者是妇女要等娘家人验看后才能入殓。	CC-CEDICT	
729	4805_1	代管	代管	dài guǎn		to administer	白城市辖镇赉县、通榆县、洮北区，代管大安、洮南市。	白城市轄鎮賚縣、通榆縣、洮北區，代管大安、洮南市。	leipzig	zho_wikipedia_2018_1M:737128	白城市辖镇赉县、通榆县、洮北区，代管大安、洮南市。	CC-CEDICT	
730	4805_1	大安	大安	dà ān		Da'an	白城市辖镇赉县、通榆县、洮北区，代管大安、洮南市。	白城市轄鎮賚縣、通榆縣、洮北區，代管大安、洮南市。	leipzig	zho_wikipedia_2018_1M:737128	白城市辖镇赉县、通榆县、洮北区，代管大安、洮南市。	CC-CEDICT	
731	4807_1	发脾气	發脾氣	fā pí qì		to lose one's temper	他动辄就发脾气，所以我不怎么喜欢他。	他動輒就發脾氣，所以我不怎麼喜歡他。	tatoeba	501219	他動輒就發脾氣，所以我不怎麼喜歡他。	CC-CEDICT	
732	4808_1	山地	山地	shān dì		mountainous region	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	山地丘陵間有桃村地塹盆地、萊陽斷陷盆地和膠萊凹陷平原等。	leipzig	zho_wikipedia_2018_1M:463982	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	CC-CEDICT	
733	4808_1	盆地	盆地	pén dì		basin	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	山地丘陵間有桃村地塹盆地、萊陽斷陷盆地和膠萊凹陷平原等。	leipzig	zho_wikipedia_2018_1M:463982	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	CC-CEDICT	
734	4808_1	莱阳	萊陽	lái yáng		Laiyang	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	山地丘陵間有桃村地塹盆地、萊陽斷陷盆地和膠萊凹陷平原等。	leipzig	zho_wikipedia_2018_1M:463982	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	CC-CEDICT	
735	4808_1	凹陷	凹陷	āo xiàn		to cave in	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	山地丘陵間有桃村地塹盆地、萊陽斷陷盆地和膠萊凹陷平原等。	leipzig	zho_wikipedia_2018_1M:463982	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	CC-CEDICT	
736	4808_1	平原	平原	píng yuán		field	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	山地丘陵間有桃村地塹盆地、萊陽斷陷盆地和膠萊凹陷平原等。	leipzig	zho_wikipedia_2018_1M:463982	山地丘陵间有桃村地堑盆地、莱阳断陷盆地和胶莱凹陷平原等。	CC-CEDICT	
737	4811_1	口罩	口罩	kǒu zhào		mask	口罩坐地起价，啧啧，我真的不晓得他们怎么想的。	口罩坐地起價，嘖嘖，我真的不曉得他們怎麼想的。	leipzig	zho_news_2020_300K:80812	口罩坐地起价，啧啧，我真的不晓得他们怎么想的。	CC-CEDICT	
738	4811_1	起价	起價	qǐ jià		initial price	口罩坐地起价，啧啧，我真的不晓得他们怎么想的。	口罩坐地起價，嘖嘖，我真的不曉得他們怎麼想的。	leipzig	zho_news_2020_300K:80812	口罩坐地起价，啧啧，我真的不晓得他们怎么想的。	CC-CEDICT	
739	4811_1	啧啧	嘖嘖	zé zé		to click one's tongue	口罩坐地起价，啧啧，我真的不晓得他们怎么想的。	口罩坐地起價，嘖嘖，我真的不曉得他們怎麼想的。	leipzig	zho_news_2020_300K:80812	口罩坐地起价，啧啧，我真的不晓得他们怎么想的。	CC-CEDICT	
740	4829_1	值得一提	值得一提	zhí de yī tí		to be worth mentioning	值得一提的是，与杂食的啮齿目不同，	值得一提的是，與雜食的嚙齒目不同，	leipzig	zho_wikipedia_2018_1M:195867	值得一提的是，与杂食的啮齿目不同，	CC-CEDICT	
741	4829_1	杂食	雜食	zá shí		omnivorous	值得一提的是，与杂食的啮齿目不同，	值得一提的是，與雜食的嚙齒目不同，	leipzig	zho_wikipedia_2018_1M:195867	值得一提的是，与杂食的啮齿目不同，	CC-CEDICT	
742	4830_1	踉跄	踉蹌	liàng qiàng		to stagger	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	一干人踉踉蹌蹌地回到宿舍，老二立刻不省人事，倒在床上就睡了，沒脫鞋，兩隻腳耷拉在地上。	leipzig	zho_news_2020_300K:9975	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	CC-CEDICT	
743	4830_1	立刻	立刻	lì kè		immediately	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	一干人踉踉蹌蹌地回到宿舍，老二立刻不省人事，倒在床上就睡了，沒脫鞋，兩隻腳耷拉在地上。	leipzig	zho_news_2020_300K:9975	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	CC-CEDICT	
744	4830_1	不省人事	不省人事	bù xǐng rén shì		to lose consciousness	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	一干人踉踉蹌蹌地回到宿舍，老二立刻不省人事，倒在床上就睡了，沒脫鞋，兩隻腳耷拉在地上。	leipzig	zho_news_2020_300K:9975	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	CC-CEDICT	
745	4830_1	耷拉	耷拉	dā la		to droop	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	一干人踉踉蹌蹌地回到宿舍，老二立刻不省人事，倒在床上就睡了，沒脫鞋，兩隻腳耷拉在地上。	leipzig	zho_news_2020_300K:9975	一干人踉踉跄跄地回到宿舍，老二立刻不省人事，倒在床上就睡了，没脱鞋，两只脚耷拉在地上。	CC-CEDICT	
746	4833_1	牡蛎	牡蠣	mǔ lì		oyster	我后悔吃了那些牡蛎。	我後悔吃了那些牡蠣。	tatoeba	834889	我後悔吃了那些牡蠣。	CC-CEDICT	
747	4836_1	难道	難道	nán dào		don't tell me ...	难道这些游行活动是受中国媒体蛊惑的吗？	難道這些遊行活動是受中國媒體蠱惑的嗎？	leipzig	zho_news_2020_300K:291933	难道这些游行活动是受中国媒体蛊惑的吗？	CC-CEDICT	
748	4836_1	蛊惑	蠱惑	gǔ huò		to entice	难道这些游行活动是受中国媒体蛊惑的吗？	難道這些遊行活動是受中國媒體蠱惑的嗎？	leipzig	zho_news_2020_300K:291933	难道这些游行活动是受中国媒体蛊惑的吗？	CC-CEDICT	
749	4858_1	积分	積分	jī fēn		integral	村民可在巾帼家美积分超市兑换各类用品。	村民可在巾幗家美積分超市兌換各類用品。	leipzig	zho_news_2020_300K:184446	村民可在巾帼家美积分超市兑换各类用品。	CC-CEDICT	
750	4858_1	兑换	兌換	duì huàn		to convert	村民可在巾帼家美积分超市兑换各类用品。	村民可在巾幗家美積分超市兌換各類用品。	leipzig	zho_news_2020_300K:184446	村民可在巾帼家美积分超市兑换各类用品。	CC-CEDICT	
751	4858_1	各类	各類	gè lèi		all categories	村民可在巾帼家美积分超市兑换各类用品。	村民可在巾幗家美積分超市兌換各類用品。	leipzig	zho_news_2020_300K:184446	村民可在巾帼家美积分超市兑换各类用品。	CC-CEDICT	
752	4858_1	用品	用品	yòng pǐn		articles for use	村民可在巾帼家美积分超市兑换各类用品。	村民可在巾幗家美積分超市兌換各類用品。	leipzig	zho_news_2020_300K:184446	村民可在巾帼家美积分超市兑换各类用品。	CC-CEDICT	
753	4863_1	常州	常州	cháng zhōu		Changzhou	后知常州，赈济饥荒有功，进一官 《	後知常州，賑濟饑荒有功，進一官 《	leipzig	zho_wikipedia_2018_1M:312294	后知常州，赈济饥荒有功，进一官 《	CC-CEDICT	
754	4863_1	赈济	賑濟	zhèn jì		to give relief aid	后知常州，赈济饥荒有功，进一官 《	後知常州，賑濟饑荒有功，進一官 《	leipzig	zho_wikipedia_2018_1M:312294	后知常州，赈济饥荒有功，进一官 《	CC-CEDICT	
755	4863_1	饥荒	饑荒	jī huāng		crop failure	后知常州，赈济饥荒有功，进一官 《	後知常州，賑濟饑荒有功，進一官 《	leipzig	zho_wikipedia_2018_1M:312294	后知常州，赈济饥荒有功，进一官 《	CC-CEDICT	
756	4866_1	玻璃	玻璃	bō li	bō lí	glass	这种玻璃含有铒。	這種玻璃含有鉺。	preexisting			CC-CEDICT	Taiwan MOE Concise Dictionary
757	4867_1	铗子	鋏子	jiá zi		tongs	铗子是一个较少见的词语。	鋏子是一個較少見的詞語。	authored	level-2/4867_1	铗子是一个较少见的词语。	CC-CEDICT	
758	4870_1	伪装	偽裝	wěi zhuāng	wèi zhuāng	to pretend to be	这颗老人的心还能撑多久，这副伪装的铠甲还能装多久。	這顆老人的心還能撐多久，這副偽裝的鎧甲還能裝多久。	leipzig	zho_news_2020_300K:278410	这颗老人的心还能撑多久，这副伪装的铠甲还能装多久。	CC-CEDICT	Taiwan MOE Concise Dictionary
759	4871_1	事迹	事蹟	shì jì	shì jī	notable deeds	小时候就知道刘胡兰的英雄事迹，她视死如归，面对敌人的铡刀，毫无惧色。	小時候就知道劉胡蘭的英雄事蹟，她視死如歸，面對敵人的鍘刀，毫無懼色。	leipzig	zho_news_2020_300K:128672	小时候就知道刘胡兰的英雄事迹，她视死如归，面对敌人的铡刀，毫无惧色。	CC-CEDICT	Taiwan MOE Concise Dictionary
760	4871_1	毫无	毫無	háo wú		not in the least	小时候就知道刘胡兰的英雄事迹，她视死如归，面对敌人的铡刀，毫无惧色。	小時候就知道劉胡蘭的英雄事蹟，她視死如歸，面對敵人的鍘刀，毫無懼色。	leipzig	zho_news_2020_300K:128672	小时候就知道刘胡兰的英雄事迹，她视死如归，面对敌人的铡刀，毫无惧色。	CC-CEDICT	
761	4872_1	金额	金額	jīn é		sum of money	预计投资金额245亿4900万泰铢。	預計投資金額245億4900萬泰銖。	leipzig	zho_wikipedia_2018_1M:983478	预计投资金额245亿4900万泰铢。	CC-CEDICT	
762	4873_1	攻关	攻關	gōng guān		to storm a strategic pass	在一次技术攻关会战中，以父亲为主力的几个人新上了一台双面铣床。	在一次技術攻關會戰中，以父親為主力的幾個人新上了一臺雙面銑床。	leipzig	zho_news_2020_300K:98147	在一次技术攻关会战中，以父亲为主力的几个人新上了一台双面铣床。	CC-CEDICT	
763	4875_1	改进	改進	gǎi jìn		to improve	这种短辕一牛挽犁的出现，是跟犁铧的改进结合在一起的。	這種短轅一牛挽犁的出現，是跟犁鏵的改進結合在一起的。	leipzig	zho_wikipedia_2018_1M:911229	这种短辕一牛挽犁的出现，是跟犁铧的改进结合在一起的。	CC-CEDICT	
764	4875_1	结合	結合	jié hé		to combine	这种短辕一牛挽犁的出现，是跟犁铧的改进结合在一起的。	這種短轅一牛挽犁的出現，是跟犁鏵的改進結合在一起的。	leipzig	zho_wikipedia_2018_1M:911229	这种短辕一牛挽犁的出现，是跟犁铧的改进结合在一起的。	CC-CEDICT	
765	4877_1	正值	正值	zhèng zhí		just at the time of	然而，当时正值气候湿热，蒙古大军受不了这样的气候，最终铩羽而归，只能作罢。	然而，當時正值氣候溼熱，蒙古大軍受不了這樣的氣候，最終鎩羽而歸，只能作罷。	leipzig	zho_news_2020_300K:207439	然而，当时正值气候湿热，蒙古大军受不了这样的气候，最终铩羽而归，只能作罢。	CC-CEDICT	
766	4877_1	受不了	受不了	shòu bù liǎo		unbearable	然而，当时正值气候湿热，蒙古大军受不了这样的气候，最终铩羽而归，只能作罢。	然而，當時正值氣候溼熱，蒙古大軍受不了這樣的氣候，最終鎩羽而歸，只能作罷。	leipzig	zho_news_2020_300K:207439	然而，当时正值气候湿热，蒙古大军受不了这样的气候，最终铩羽而归，只能作罢。	CC-CEDICT	
767	4877_1	铩羽而归	鎩羽而歸	shā yǔ ér guī		to return in low spirits following a defeat…	然而，当时正值气候湿热，蒙古大军受不了这样的气候，最终铩羽而归，只能作罢。	然而，當時正值氣候溼熱，蒙古大軍受不了這樣的氣候，最終鎩羽而歸，只能作罷。	leipzig	zho_news_2020_300K:207439	然而，当时正值气候湿热，蒙古大军受不了这样的气候，最终铩羽而归，只能作罢。	CC-CEDICT	
768	4879_1	资料	資料	zī liào		material	金属器物或技术资料中可见铫。	金屬器物或技術資料中可見銚。	preexisting			CC-CEDICT	
769	4879_1	可见	可見	kě jiàn		it can clearly be seen	金属器物或技术资料中可见铫。	金屬器物或技術資料中可見銚。	preexisting			CC-CEDICT	
770	4883_1	手机	手機	shǒu jī		cell phone	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	這款手機的最大特點在於形狀，使用可以360度旋轉的鉸鏈將兩個5.	leipzig	zho_news_2020_300K:277077	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	CC-CEDICT	
771	4883_1	特点	特點	tè diǎn		characteristic	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	這款手機的最大特點在於形狀，使用可以360度旋轉的鉸鏈將兩個5.	leipzig	zho_news_2020_300K:277077	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	CC-CEDICT	
772	4883_1	在于	在於	zài yú		to rest with	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	這款手機的最大特點在於形狀，使用可以360度旋轉的鉸鏈將兩個5.	leipzig	zho_news_2020_300K:277077	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	CC-CEDICT	
773	4883_1	铰链	鉸鏈	jiǎo liàn		hinge	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	這款手機的最大特點在於形狀，使用可以360度旋轉的鉸鏈將兩個5.	leipzig	zho_news_2020_300K:277077	这款手机的最大特点在于形状，使用可以360度旋转的铰链将两个5.	CC-CEDICT	
774	4885_1	自卫	自衛	zì wèi		to defend oneself	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	當晚10點,農民自衛軍向黃安縣城進發,成千上萬的群眾手持鳥銃、魚叉等原始武器紛紛加入起義行列。	leipzig	zho_news_2020_300K:140954	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	CC-CEDICT	
775	4885_1	县城	縣城	xiàn chéng		county seat	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	當晚10點,農民自衛軍向黃安縣城進發,成千上萬的群眾手持鳥銃、魚叉等原始武器紛紛加入起義行列。	leipzig	zho_news_2020_300K:140954	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	CC-CEDICT	
776	4885_1	进发	進發	jìn fā		to set off	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	當晚10點,農民自衛軍向黃安縣城進發,成千上萬的群眾手持鳥銃、魚叉等原始武器紛紛加入起義行列。	leipzig	zho_news_2020_300K:140954	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	CC-CEDICT	
777	4885_1	成千上万	成千上萬	chéng qiān shàng wàn		untold numbers	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	當晚10點,農民自衛軍向黃安縣城進發,成千上萬的群眾手持鳥銃、魚叉等原始武器紛紛加入起義行列。	leipzig	zho_news_2020_300K:140954	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	CC-CEDICT	
778	4885_1	群众	群眾	qún zhòng		mass	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	當晚10點,農民自衛軍向黃安縣城進發,成千上萬的群眾手持鳥銃、魚叉等原始武器紛紛加入起義行列。	leipzig	zho_news_2020_300K:140954	当晚10点,农民自卫军向黄安县城进发,成千上万的群众手持鸟铳、鱼叉等原始武器纷纷加入起义行列。	CC-CEDICT	
